Year,Action & Adventure,Children & Family Movies,Comedies,Documentaries,Dramas,Independent Movies,International Movies,International TV Shows,Romantic Movies,TV Dramas
2008,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2011,0.0,1.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0
2012,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
2014,1.0,4.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,3.0
2015,2.0,11.0,12.0,13.0,12.0,7.0,10.0,3.0,1.0,4.0
2016,20.0,20.0,49.0,69.0,67.0,32.0,85.0,89.0,7.0,41.0
2017,106.0,77.0,191.0,206.0,297.0,116.0,418.0,198.0,68.0,127.0
2018,178.0,85.0,301.0,170.0,534.0,159.0,677.0,218.0,111.0,112.0
2019,222.0,148.0,452.0,189.0,597.0,206.0,641.0,355.0,157.0,192.0
2020,176.0,171.0,425.0,120.0,548.0,146.0,578.0,306.0,179.0,193.0
2021,16.0,12.0,37.0,9.0,38.0,8.0,24.0,6.0,8.0,5.0
